Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2019-11-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-11-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-11-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-11-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-11-28,Clear,Rain,Clear,Clear,NA,Light,NA,NA,0,0,0,0,0,FALSE
2019-11-29,Rain,Rain,Rain,Clear,Light,Heavy,Light,NA,0,0,0,0,0,FALSE
2019-11-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-12-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-12-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-12-03,Clear,Clear,Cold,Cold,NA,NA,Severe,Severe,0,0,2,0,1,TRUE
2019-12-04,Rain,Rain,Rain,Clear,Light,Light,Light,NA,0,0,0,3,2,TRUE
2019-12-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,5,TRUE
2019-12-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,9,TRUE
2019-12-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-12-08,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,0,0,0,0,FALSE
2019-12-09,Clear,Clear,Fog,Clear,NA,NA,Severe,NA,0,4,4,2,8,TRUE
2019-12-10,Rain,Clear,Clear,Clear,Light,NA,NA,NA,0,2,2,2,9,TRUE
2019-12-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,3,0,3,TRUE
2019-12-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,4,TRUE
2019-12-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,14,TRUE
2019-12-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,4,0,5,TRUE
2019-12-15,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,4,0,2,4,TRUE
2019-12-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,0,2,5,TRUE
2019-12-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,6,TRUE
